Index,Query(한글),LLM Output,Functions
6CRXIM,고정 공청 기능 켜줘 그러고 나서 팬 풍량 오토로 설정해줘,<function_PG>();<function_NK>(speed=0)<end>,"['function_PG', 'function_NK']"
6FHUMM,고정 청정 온 그 다음에 실시간 공기질 모니터링 보여주세요,"<function_PG>();<function_IO>(timeframe=0, location=""0"")<end>","['function_PG', 'function_IO']"
6FJXQN,고정 청정 온 다음으로 충전량 얼마야,<function_PG>();<function_JJ>()<end>,"['function_PG', 'function_JJ']"
6FLXOA,고정 공청 기능 켜줘 그리고 엘이디 불빛을 60퍼센트로 올려죠,<function_PG>();<function_WN>(brightness=3)<end>,"['function_PG', 'function_WN']"
6FVSQW,고정 공청 기능 켜줘 그 다음에 감지 민감도를 높음으로 조정해줄 수 있어,<function_PG>();<function_QD>(type=2)<end>,"['function_PG', 'function_QD']"
6GBIMS,고정 공청 기능 켜줘 또 홍보실으로 가서 청정해 줘,<function_PG>();<function_FF>(position=홍보실)<end>,"['function_PG', 'function_FF']"
6GTMPX,고정 공청 기능 켜줘 이어서 주말 날씨 몇 도야,"<function_PG>();<function_MO>(timeframe=2, location=""0"")<end>","['function_PG', 'function_MO']"
6GUUOG,청정 켜봐 그리고 목요일 날씨 추울까,"<function_PG>();<function_MO>(timeframe=6, location=""0"")<end>","['function_PG', 'function_MO']"
6HWZRF,고정 공기 청정 실행해줘 다음으로 수요일 이스탄불 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=5, location=이스탄불)<end>","['function_PG', 'function_MO']"
6ICLTQ,청정 켜봐 그 다음에 프라이버시 중지해주실 수 있나요,<function_PG>();<function_GN>(enable=False)<end>,"['function_PG', 'function_GN']"
6NHYHT,고정 공기 청정 실행해줘 그 후에 밝기를 일로 조정해줘,<function_PG>();<function_WN>(brightness=1)<end>,"['function_PG', 'function_WN']"
6NMNXN,고정 공기 청정 가동 시작해줘 그리고 전체 공간 청정 해줘,<function_PG>();<function_EF>(action=1)<end>,"['function_PG', 'function_EF']"
6NUNVW,청정 켜봐 음소거 상태를 만들어주시겠습니까,<function_PG>();<function_MV>(mute=True)<end>,"['function_PG', 'function_MV']"
6OMCIP,고정 공기 청정 실행해줘 다음으로 터치음을 팔십퍼로 설정해줘,<function_PG>();<function_ZV>(volume=4)<end>,"['function_PG', 'function_ZV']"
6OTIMH,고정 청정 온 그 후에 금요일 노원구 날씨 몇 도야,"<function_PG>();<function_MO>(timeframe=7, location=노원구)<end>","['function_PG', 'function_MO']"
6QBPAS,고정 공기 청정 가동 시작해줘 그러고 나서 공기청정 언제 끝났니,<function_PG>();<function_CE>()<end>,"['function_PG', 'function_CE']"
6QRXMO,청정 켜봐 또 소리 볼륨을 삼으로 맞춰줘,<function_PG>();<function_ZV>(volume=3)<end>,"['function_PG', 'function_ZV']"
6RCSNF,고정 공기 청정 가동 시작해줘 그러고 나서 미디음을 4단계로 조정해줄래,<function_PG>();<function_ZV>(volume=4)<end>,"['function_PG', 'function_ZV']"
6RHZJK,고정 공기 청정 가동 시작해줘 그 후에 엘이디 눈 조명을 3로 맞출 수 있니,<function_PG>();<function_WN>(brightness=3)<end>,"['function_PG', 'function_WN']"
6RUIXS,고정 공청 기능 켜줘 다음으로 밝기를 2로 조정해줘,<function_PG>();<function_WN>(brightness=2)<end>,"['function_PG', 'function_WN']"
6SEZGC,고정 공청 기능 켜줘 그 후에 이동 다시 시작해줘,<function_PG>();<function_YA>(move=2)<end>,"['function_PG', 'function_YA']"
6SIVUW,청정 켜봐 그러고 나서 풍속 약풍으로 조정해줘,<function_PG>();<function_NK>(speed=1)<end>,"['function_PG', 'function_NK']"
6SMLQF,고정 공기 청정 실행해줘 이어서 감지 감도를 높게 설정해줘,<function_PG>();<function_QD>(type=2)<end>,"['function_PG', 'function_QD']"
6TBVSG,청정 켜봐 그리고 여기로 따라와주세요,<function_PG>();<function_CK>()<end>,"['function_PG', 'function_CK']"
6UXZYL,고정 공기 청정 실행해줘 그 다음에 토요일 노량진 TVOC 농도는 얼마야,"<function_PG>();<function_IO>(timeframe=8, location=노량진)<end>","['function_PG', 'function_IO']"
6VUKVJ,고정 청정 온 그리고 내일 미세먼지 농도 어때,"<function_PG>();<function_IO>(timeframe=1, location=""0"")<end>","['function_PG', 'function_IO']"
6VYMVT,청정 켜봐 그 다음에 토요일 노량진 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=8, location=노량진)<end>","['function_PG', 'function_MO']"
6VZYVQ,청정 켜봐 그 후에 화요일 기기 근처 공기 상태는 어때,"<function_PG>();<function_IO>(timeframe=4, location=""0"")<end>","['function_PG', 'function_IO']"
6WALHN,고정 공기 청정 실행해줘 다음으로 여성 음성으로 지정해주실래요,<function_PG>();<function_GQ>(gender=1)<end>,"['function_PG', 'function_GQ']"
6XINXB,고정 공기 청정 가동 시작해줘 그 후에 내일 뉴욕 미세먼지 어때,"<function_PG>();<function_IO>(timeframe=1, location=뉴욕)<end>","['function_PG', 'function_IO']"
6XNXVM,고정 청정 온 그 다음에 주말 여기에 공기가 나쁠까,"<function_PG>();<function_IO>(timeframe=2, location=""0"")<end>","['function_PG', 'function_IO']"
6XVODJ,고정 공기 청정 가동 시작해줘 그 다음에 현재 온도 표시는 화씨입니까,<function_PG>();<function_EW>(get=True)<end>,"['function_PG', 'function_EW']"
6YUZDS,고정 공기 청정 실행해줘 그리고 나이트 모드 비활성화해줘,<function_PG>();<function_BS>(enable=False)<end>,"['function_PG', 'function_BS']"
6YYYLS,고정 공청 기능 켜줘 또 나이트 모드 켜줘,<function_PG>();<function_BS>(enable=True)<end>,"['function_PG', 'function_BS']"
6ZHLSD,고정 공기 청정 가동 시작해줘 다음으로 지금 여성 목소리로 설정된 건가요,<function_PG>();<function_GQ>(get=True)<end>,"['function_PG', 'function_GQ']"
7APUCU,청정 켜봐 또 혹시 에이아이 모드 동시에 꺼주실 수 있나요,"<function_PG>();<function_BP>(enable=1, type=2)<end>","['function_PG', 'function_BP']"
7AYZUL,고정 공기 청정 실행해줘 그러고 나서 매너모드 활성화해줘,<function_PG>();<function_ZX>(enable=True)<end>,"['function_PG', 'function_ZX']"
7CBUIN,고정 공기 청정 가동 시작해줘 이어서 에이아이 모드의 외부 대기 상태 연동 꺼줘,"<function_PG>();<function_BP>(enable=1, type=0)<end>","['function_PG', 'function_BP']"
7CMQXP,고정 공기 청정 실행해줘 그 다음에 스캐닝 공기청정 상태가 어떤가요,<function_PG>();<function_IH>(get=True)<end>,"['function_PG', 'function_IH']"
7CPARS,고정 청정 온 또 공기질 상태 표시가 켜져있는지 확인해볼래,<function_PG>();<function_SC>(get=True)<end>,"['function_PG', 'function_SC']"
7CTFPV,고정 공청 기능 켜줘 이어서 스캐닝 청정 꺼줘,<function_PG>();<function_IH>(scan=False)<end>,"['function_PG', 'function_IH']"
7DMKYX,고정 공청 기능 켜줘 음성 인지 작동 시작해줘,<function_PG>();<function_QT>(enable=True)<end>,"['function_PG', 'function_QT']"
7FNHYW,고정 공기 청정 가동 시작해줘 그리고 풍속 자동으로 해줘,<function_PG>();<function_NK>(speed=0)<end>,"['function_PG', 'function_NK']"
7FZGSP,고정 공청 기능 켜줘 다음으로 월요일 기기 근처 공기 상태는 어때,"<function_PG>();<function_IO>(timeframe=3, location=""0"")<end>","['function_PG', 'function_IO']"
7HCMCN,청정 켜봐 그리고 화요일 대기질 정보를 화면에 보여줄래,"<function_PG>();<function_IO>(timeframe=4, location=""0"")<end>","['function_PG', 'function_IO']"
7JGIPM,고정 공기 청정 가동 시작해줘 유부이 에릴디 오프 부탁해,<function_PG>();<function_NN>(enable=False)<end>,"['function_PG', 'function_NN']"
7KJHBB,고정 공청 기능 켜줘 그 다음에 음성 인지 시스템 종료해,<function_PG>();<function_QT>(enable=False)<end>,"['function_PG', 'function_QT']"
7LLIVM,고정 공청 기능 켜줘 다음으로 스테이션 위치로 복귀하세요,<function_PG>();<function_KI>()<end>,"['function_PG', 'function_KI']"
7OKUYC,고정 청정 온 그리고 음성을 여성으로 전환해줄래,<function_PG>();<function_GQ>(gender=1)<end>,"['function_PG', 'function_GQ']"
7OYGMS,고정 공청 기능 켜줘 그리고 듣기 모드 시작해,<function_PG>();<function_QT>(enable=True)<end>,"['function_PG', 'function_QT']"
7OYUPX,고정 청정 온 그리고 미디음의 볼륨 몇 단계인지 말해줄래,<function_PG>();<function_ZV>(get=True)<end>,"['function_PG', 'function_ZV']"
7POBKE,고정 청정 온 토요일 광진구 날씨 몇 도야,"<function_PG>();<function_MO>(timeframe=8, location=광진구)<end>","['function_PG', 'function_MO']"
7QSWTV,고정 공기 청정 가동 시작해줘 그리고 일요일 날씨 추울까,"<function_PG>();<function_MO>(timeframe=9, location=""0"")<end>","['function_PG', 'function_MO']"
7RDMOP,고정 청정 온 그러고 나서 내일 서울 날씨 비 와,"<function_PG>();<function_MO>(timeframe=1, location=서울)<end>","['function_PG', 'function_MO']"
7RQYWW,고정 공기 청정 가동 시작해줘 그러고 나서 공기질 아이 표시 기능 해제해줘,<function_PG>();<function_SC>(enable=False)<end>,"['function_PG', 'function_SC']"
7SKFSY,청정 켜봐 그리고 오늘 진짜 쳐진다,<function_PG>();<function_MR>()<end>,"['function_PG', 'function_MR']"
7TCOHO,청정 켜봐 그리고 청주 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=0, location=청주)<end>","['function_PG', 'function_MO']"
7VHMQC,고정 공기 청정 가동 시작해줘 그 다음에 어떤 테마를 사용하고 있는지 알려주실래요,<function_PG>();<function_HG>(get=True)<end>,"['function_PG', 'function_HG']"
7VJWQX,고정 공기 청정 실행해줘 다음으로 모스크바의 월요일 날씨 정보 표시해줄래,"<function_PG>();<function_MO>(timeframe=3, location=모스크바)<end>","['function_PG', 'function_MO']"
7VMRTG,고정 공기 청정 실행해줘 이어서 지금 어디서 청정하고 있는지 알려줄 수 있어,<function_PG>();<function_ID>(get=True)<end>,"['function_PG', 'function_ID']"
7XYILT,고정 공기 청정 실행해줘 그 다음에 월요일 모스크바 미세먼지 어때,"<function_PG>();<function_IO>(timeframe=3, location=모스크바)<end>","['function_PG', 'function_IO']"
7YYWPE,고정 공기 청정 실행해줘 또 수요일 날씨 정보 표시해줄래,"<function_PG>();<function_MO>(timeframe=5, location=""0"")<end>","['function_PG', 'function_MO']"
7ZVPTZ,고정 청정 온 그 후에 음소거 비활성화 해줘,<function_PG>();<function_MV>(mute=False)<end>,"['function_PG', 'function_MV']"
8AESFS,고정 공청 기능 켜줘 그리고 내일 날씨 추울까,"<function_PG>();<function_MO>(timeframe=1, location=""0"")<end>","['function_PG', 'function_MO']"
8BURAO,청정 켜봐 또 주말 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=2, location=""0"")<end>","['function_PG', 'function_MO']"
8CCEUL,고정 공기 청정 가동 시작해줘 그 후에 화요일 홍콩 공기질 때문에 마스크 써야 할까,"<function_PG>();<function_IO>(timeframe=4, location=홍콩)<end>","['function_PG', 'function_IO']"
8CMQRI,청정 켜봐 그리고 엘씨디 화면 밝기를 영단계로 조절해줄래,<function_PG>();<function_WN>(brightness=0)<end>,"['function_PG', 'function_WN']"
8DIDAD,고정 공청 기능 켜줘 또 음소거 기능 활성화를 원해요,<function_PG>();<function_MV>(mute=True)<end>,"['function_PG', 'function_MV']"
8GJVOA,고정 청정 온 일요일 해운대 대기질을 화면에 보여줘,"<function_PG>();<function_IO>(timeframe=9, location=해운대)<end>","['function_PG', 'function_IO']"
8HIMEF,고정 공기 청정 가동 시작해줘 그리고 수요일 날씨 몇 도야,"<function_PG>();<function_MO>(timeframe=5, location=""0"")<end>","['function_PG', 'function_MO']"
8ICJRP,고정 공기 청정 실행해줘 소리 볼륨을 삼으로 맞춰줘,<function_PG>();<function_ZV>(volume=3)<end>,"['function_PG', 'function_ZV']"
8JIRLX,청정 켜봐 지금 하는 작업 일시 정지해줄래요,<function_PG>();<function_YA>(move=1)<end>,"['function_PG', 'function_YA']"
8JXEKY,고정 공기 청정 실행해줘 그 다음에 오늘 샌프란시스코 날씨 몇 도야,"<function_PG>();<function_MO>(timeframe=0, location=샌프란시스코)<end>","['function_PG', 'function_MO']"
8KXSPQ,고정 공기 청정 가동 시작해줘 그 후에 프라이버시 작동시켜,<function_PG>();<function_GN>(enable=True)<end>,"['function_PG', 'function_GN']"
8KYNST,고정 청정 온 이어서 티티에스 볼륨을 이십프로로 바꿔줘,<function_PG>();<function_ZV>(volume=1)<end>,"['function_PG', 'function_ZV']"
8LSZZZ,고정 공기 청정 가동 시작해줘 그리고 멕시코시티의 화요일 날씨 정보 표시해줄래,"<function_PG>();<function_MO>(timeframe=4, location=멕시코시티)<end>","['function_PG', 'function_MO']"
8MIUMG,청정 켜봐 그리고 매너모드 꺼주세요,<function_PG>();<function_ZX>(enable=False)<end>,"['function_PG', 'function_ZX']"
8OFPEF,고정 청정 모드 켜줘,<function_PG>()<end>,['function_PG']
8POKRN,고정 공청 기능 켜줘 이어서 부설연구소 공기 청정이 필요해,<function_PG>();<function_FF>(position=부설연구소)<end>,"['function_PG', 'function_FF']"
8QYFBB,청정 켜봐 온도 표시를 섭씨로 설정해주세요,<function_PG>();<function_EW>(type=0)<end>,"['function_PG', 'function_EW']"
8RQMJU,이 영화 봤어 그리고 고정 청정 온,<function_MR>();<function_PG>()<end>,"['function_MR', 'function_PG']"
8SMQTL,청정 켜봐 그러고 나서 오늘 날씨 어때,"<function_PG>();<function_MO>(timeframe=0, location=""0"")<end>","['function_PG', 'function_MO']"
8TKJFA,고정 공청 기능 켜줘 또 대기화면을 기본 테마로 전환해주실래요,<function_PG>();<function_HG>(theme=0)<end>,"['function_PG', 'function_HG']"
8TQCNZ,청정 켜봐 그 후에 효과음을 5단계로 바꿔줘,<function_PG>();<function_ZV>(volume=5)<end>,"['function_PG', 'function_ZV']"
8UVIOZ,청정 켜봐 다음으로 공기질 상태 표시 작동 정지해,<function_PG>();<function_SC>(enable=False)<end>,"['function_PG', 'function_SC']"
8WAPZQ,고정 공기 청정 실행해줘 다음으로 현재 어떤 성별로 말하나요,<function_PG>();<function_GQ>(get=True)<end>,"['function_PG', 'function_GQ']"
8WGQXW,고정 청정 온 그리고 청정 결과 보고서 보여줘,<function_PG>();<function_CE>()<end>,"['function_PG', 'function_CE']"
8WHISQ,고정 청정 온 다음으로 스캐닝 청정 켜져있는 중인가요,<function_PG>();<function_IH>(get=True)<end>,"['function_PG', 'function_IH']"
8WPSFU,고정 공기 청정 가동 시작해줘 이어서 엘이디 눈 조명을 4로 맞할 수 있니,<function_PG>();<function_WN>(brightness=4)<end>,"['function_PG', 'function_WN']"
8XINZG,고정 공기 청정 가동 시작해줘 그리고 목요일 뉴델리 TVOC 농도는 얼마야,"<function_PG>();<function_IO>(timeframe=6, location=뉴델리)<end>","['function_PG', 'function_IO']"
8ZOUPR,청정 켜봐 그리고 선택 공간 청정 잠깐 일시 정지해주세요,<function_PG>();<function_YA>(move=1)<end>,"['function_PG', 'function_YA']"
8ZWUYP,고정 공기 청정 가동 시작해줘 그리고 이쪽으로 틀어줄 수 있어,<function_PG>();<function_FR>()<end>,"['function_PG', 'function_FR']"
9AFYKZ,고정 공청 기능 켜줘 그리고 수요일 방콕 공기질 걱정해야 할까,"<function_PG>();<function_IO>(timeframe=5, location=방콕)<end>","['function_PG', 'function_IO']"
9DVJII,고정 공청 기능 켜줘 그리고 목요일 공기질 상태 알려줘,"<function_PG>();<function_IO>(timeframe=6, location=""0"")<end>","['function_PG', 'function_IO']"
9DZQAC,고정 청정 온 다음으로 혹시 에이아이 모드 동시에 켜주실 수 있나요,"<function_PG>();<function_BP>(enable=0, type=2)<end>","['function_PG', 'function_BP']"
9ERMDF,고정 청정 온 그 후에 화요일 자카르타 공기질 때문에 마스크 써야 할까,"<function_PG>();<function_IO>(timeframe=4, location=자카르타)<end>","['function_PG', 'function_IO']"
9EWIKR,고정 청정 온 중풍 바람 세기로 해줘,<function_PG>();<function_NK>(speed=2)<end>,"['function_PG', 'function_NK']"
9FVIIR,청정 켜봐 다음으로 유뷔 엘리디 작동 정지해,<function_PG>();<function_NN>(enable=False)<end>,"['function_PG', 'function_NN']"
9GNHWG,공기 청정기 켜줘,<function_PG>()<end>,['function_PG']
9HQQQU,고정 공기 청정 실행해줘 토요일 미세먼지 농도 어때,"<function_PG>();<function_IO>(timeframe=8, location=""0"")<end>","['function_PG', 'function_IO']"
9IQPXM,고정 공기 청정 가동 시작해줘 그러고 나서 실내 공기질 테마로 화면 설정해줘,<function_PG>();<function_HG>(theme=2)<end>,"['function_PG', 'function_HG']"
9IWFZZ,청정 켜봐 화씨 단위로 바꿔주세요,<function_PG>();<function_EW>(type=1)<end>,"['function_PG', 'function_EW']"
9JDFKA,고정 공기 청정 실행해줘 그리고 스캐닝 기능 시작해주세요,<function_PG>();<function_IH>(scan=True)<end>,"['function_PG', 'function_IH']"
9KWLGU,고정 공청 기능 켜줘 그 다음에 유뷔 살균 엘이디 기능 시작,<function_PG>();<function_NN>(enable=True)<end>,"['function_PG', 'function_NN']"
9LIAQM,고정 공기 청정 실행해줘 그리고 유비이 살균 에리디 불빛 작동 정지해줘,<function_PG>();<function_NN>(enable=False)<end>,"['function_PG', 'function_NN']"
9MBVCP,고정 공기 청정 실행해줘 이어서 바람 강도 강풍으로 맞춰줘,<function_PG>();<function_NK>(speed=3)<end>,"['function_PG', 'function_NK']"
9MZTLX,고정 공기 청정 가동 시작해줘 그 다음에 주말 파리 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=2, location=파리)<end>","['function_PG', 'function_MO']"
9NONCL,고정 공기 청정 가동 시작해줘 목요일 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=6, location=""0"")<end>","['function_PG', 'function_MO']"
9QGGSC,고정 공기 청정 실행해줘 다음으로 수요일 기기 근처 공기 상태는 어때,"<function_PG>();<function_IO>(timeframe=5, location=""0"")<end>","['function_PG', 'function_IO']"
9QMSDK,청정 켜봐 이어서 유브이 살균 엘이디 기능 켜져 있나요,<function_PG>();<function_NN>(get=True)<end>,"['function_PG', 'function_NN']"
9UPVMK,고정 공청 기능 켜줘 기기 언어 설정 한국어로 바꿔줘,<function_PG>();<function_HS>(type=1)<end>,"['function_PG', 'function_HS']"
9VLIZK,고정 공청 기능 켜줘 그 다음에 일요일 해남 공기질 때문에 마스크 써야 할까,"<function_PG>();<function_IO>(timeframe=9, location=해남)<end>","['function_PG', 'function_IO']"
9VLTEO,고정 청정 온 그리고 수요일 이스탄불 미세먼지 어때,"<function_PG>();<function_IO>(timeframe=5, location=이스탄불)<end>","['function_PG', 'function_IO']"
9WQFUH,청정 켜봐 그리고 금요일 강남 대기질을 화면에 보여줘,"<function_PG>();<function_IO>(timeframe=7, location=강남)<end>","['function_PG', 'function_IO']"
9XEHJL,청정 켜봐 하이나무 오프해줘,<function_PG>();<function_QT>(enable=False)<end>,"['function_PG', 'function_QT']"
9YLKHS,고정 청정 온 그리고 토요일 여기에 공기가 나쁠까,"<function_PG>();<function_IO>(timeframe=8, location=""0"")<end>","['function_PG', 'function_IO']"
9YVEHR,충전 위치로 되돌아가 그리고 청정 켜봐,<function_KI>();<function_PG>()<end>,"['function_KI', 'function_PG']"
9ZNBME,고정 공기 청정 가동 시작해줘 이어서 충전하러 복귀,<function_PG>();<function_KI>()<end>,"['function_PG', 'function_KI']"
